Order_ID,Order_Timestamp,Customer_ID,Session_ID,Product_ID,Quantity,Unit_Price,Total_Amount
O00043,2026-08-05 16:03:26,C0031,L1-00069,P009,2,55,110
O00044,2026-08-05 17:07:46,C0082,L1-00214,P002,1,85,85
O00045,2026-08-05 18:16:03,C0082,L1-00214,P030,1,185,185
O00046,2026-08-05 19:20:22,C0141,L1-00349,P021,1,35,35
O00047,2026-08-05 20:05:20,C0141,L1-00349,P017,1,115,115
O00048,2026-08-05 21:03:56,C0140,L1-00348,P018,1,52,52
O00049,2026-08-05 22:54:13,C0032,L1-00070,P022,1,225,225
O00050,2026-08-06 00:21:18,C0073,L1-00190,P006,1,285,285
O00051,2026-08-06 03:59:50,C0184,L1-00451,P013,3,149,447
O00052,2026-08-06 12:18:22,C0108,L1-00267,P018,1,52,52
O00053,2026-08-06 14:06:47,C0031,L1-00069,P034,2,120,240
O00054,2026-08-06 16:56:28,C0006,L1-00009,P026,1,165,165
O00055,2026-08-06 18:29:12,C0081,L1-00213,P028,1,135,135
O00056,2026-08-07 06:51:53,C0007,L1-00016,P007,1,165,165
O00057,2026-08-07 09:23:49,C0101,L1-00246,P020,1,145,145
O00058,2026-08-07 11:33:43,C0195,L1-00477,P014,1,285,285
O00059,2026-08-07 13:37:45,C0199,L1-00487,P012,1,38,38
O00060,2026-08-07 17:44:39,C0046,L1-00104,P018,1,52,52
O00061,2026-08-07 18:14:26,C0046,L1-00104,P022,1,225,225
O00062,2026-08-07 18:34:35,C0074,L1-00194,P022,1,225,225
O00063,2026-08-07 23:46:34,C0164,L1-00408,P023,1,89,89
O00064,2026-08-08 11:36:39,C0072,L1-00188,P031,1,96,96
O00065,2026-08-08 15:44:14,C0069,L1-00181,P008,1,52,52
O00066,2026-08-08 15:59:21,C0011,L1-00023,P021,2,35,70
O00067,2026-08-08 16:28:03,C0135,L1-00332,P033,1,99,99
O00068,2026-08-08 17:33:01,C0135,L1-00332,P022,2,225,450
O00069,2026-08-08 18:49:25,C0096,L1-00239,P017,1,115,115
O00070,2026-08-09 06:18:23,C0199,L1-00487,P006,3,285,855
O00071,2026-08-09 06:37:56,C0016,L1-00037,P029,1,299,299
O00072,2026-08-09 11:52:47,C0058,L1-00141,P009,3,55,165
O00073,2026-08-09 13:43:45,C0049,L1-00118,P012,1,38,38
O00074,2026-08-09 14:01:40,C0049,L1-00118,P011,1,42,42
O00075,2026-08-09 16:19:25,C0183,L1-00447,P015,3,95,285
O00076,2026-08-09 17:53:55,C0087,L1-00225,P024,1,110,110
O00077,2026-08-09 19:24:43,C0042,L1-00095,P012,1,38,38
O00078,2026-08-09 21:32:41,C0183,L1-00448,P028,1,135,135
O00079,2026-08-09 22:50:08,C0103,L1-00253,P024,2,110,220
O00080,2026-08-09 23:07:45,C0103,L1-00253,P028,2,135,270
O00081,2026-08-10 09:03:36,C0037,L1-00085,P016,1,125,125
O00082,2026-08-10 09:54:32,C0037,L1-00085,P008,2,52,104
O00083,2026-08-10 12:03:13,C0181,L1-00438,P011,1,42,42
O00084,2026-08-10 15:33:22,C0093,L1-00233,P023,1,89,89
O00085,2026-08-10 23:10:09,C0182,L1-00442,P014,3,285,855
O00086,2026-08-11 05:10:08,C0182,L1-00442,P020,1,145,145
O00087,2026-08-11 14:09:14,C0124,L1-00311,P035,1,85,85
O00088,2026-08-11 14:26:35,C0049,L1-00119,P034,1,120,120
O00089,2026-08-11 14:27:37,C0010,L1-00019,P015,3,95,285
O00090,2026-08-11 16:14:28,C0113,L1-00286,P004,3,62,186
O00091,2026-08-11 16:41:23,C0169,L1-00417,P017,1,115,115
O00092,2026-08-11 22:51:39,C0045,L1-00100,P027,1,145,145
O00093,2026-08-12 08:54:45,C0172,L1-00425,P028,2,135,270
O00094,2026-08-12 12:12:36,C0176,L1-00432,P006,1,285,285
O00095,2026-08-12 12:21:42,C0094,L1-00237,P013,1,149,149
O00096,2026-08-12 15:34:17,C0106,L1-00261,P015,3,95,285
O00097,2026-08-12 18:55:17,C0049,L1-00123,P023,1,89,89
O00098,2026-08-12 20:10:57,C0141,L1-00350,P009,1,55,55
O00099,2026-08-12 20:24:09,C0185,L1-00458,P025,1,89,89
O00100,2026-08-12 20:46:29,C0185,L1-00458,P026,1,165,165
O00101,2026-08-12 21:33:25,C0185,L1-00458,P034,1,120,120
O00102,2026-08-12 23:19:30,C0027,L1-00058,P020,1,145,145
O00103,2026-08-12 23:23:28,C0163,L1-00403,P034,1,120,120
O00104,2026-08-13 11:46:41,C0059,L1-00148,P030,1,185,185
O00105,2026-08-13 12:08:34,C0106,L1-00261,P007,1,165,165
O00106,2026-08-13 12:20:54,C0059,L1-00148,P028,1,135,135
O00107,2026-08-13 13:59:54,C0078,L1-00204,P007,1,165,165
O00108,2026-08-13 15:06:43,C0042,L1-00096,P015,1,95,95
O00109,2026-08-13 15:49:05,C0042,L1-00096,P007,1,165,165
O00110,2026-08-13 15:52:23,C0140,L1-00344,P017,1,115,115
O00111,2026-08-13 15:59:00,C0140,L1-00344,P030,1,185,185
O00112,2026-08-13 16:35:46,C0059,L1-00143,P023,1,89,89
O00113,2026-08-13 18:30:03,C0079,L1-00209,P020,1,145,145
O00114,2026-08-13 19:16:54,C0007,L1-00015,P018,2,52,104
O00115,2026-08-13 19:20:47,C0007,L1-00015,P026,1,165,165
O00116,2026-08-13 19:37:38,C0140,L1-00345,P028,1,135,135
O00117,2026-08-13 20:44:01,C0140,L1-00344,P001,1,64,64
O00118,2026-08-14 09:00:44,C0098,L1-00243,P018,1,52,52
O00119,2026-08-14 09:55:53,C0098,L1-00243,P030,1,185,185
O00120,2026-08-14 14:42:14,C0016,L1-00035,P007,1,165,165
O00121,2026-08-14 14:49:35,C0016,L1-00035,P019,1,24,24
O00122,2026-08-14 15:23:39,C0046,L1-00108,P030,2,185,370
O00123,2026-08-15 03:00:21,C0045,L1-00101,P018,1,52,52
O00124,2026-08-15 07:52:16,C0140,L1-00345,P036,2,65,130
O00125,2026-08-15 09:46:57,C0133,L1-00327,P032,2,225,450
O00126,2026-08-15 11:40:41,C0120,L1-00303,P006,2,285,570
O00127,2026-08-15 13:06:43,C0118,L1-00299,P023,2,89,178
O00128,2026-08-15 13:37:49,C0037,L1-00086,P013,1,149,149
O00129,2026-08-15 13:48:48,C0067,L1-00179,P025,1,89,89
O00130,2026-08-15 14:54:25,C0007,L1-00015,P022,1,225,225
O00131,2026-08-15 15:07:14,C0104,L1-00255,P031,2,96,192
O00132,2026-08-15 16:15:35,C0114,L1-00288,P034,2,120,240
O00133,2026-08-15 16:48:37,C0106,L2-00001,P013,2,149,298
O00134,2026-08-15 17:29:17,C0091,L1-00230,P007,3,165,495
O00135,2026-08-15 18:25:09,C0150,L1-00377,P014,1,285,285
O00136,2026-08-15 19:02:32,C0049,L1-00120,P020,1,145,145
O00137,2026-08-15 20:12:24,C0168,L1-00415,P010,1,48,48
O00138,2026-08-16 08:41:11,C0011,L1-00022,P034,1,120,120
O00139,2026-08-16 16:00:51,C0176,L1-00433,P017,1,115,115
O00140,2026-08-16 16:31:27,C0091,L1-00230,P010,1,48,48
O00141,2026-08-16 17:23:03,C0031,L1-00068,P010,3,48,144
O00142,2026-08-16 17:40:05,C0031,L1-00068,P006,1,285,285
O00143,2026-08-16 17:47:39,C0031,L1-00068,P014,1,285,285
O00144,2026-08-16 18:05:11,C0031,L1-00068,P023,1,89,89
O00145,2026-08-16 18:21:13,C0066,L1-00172,P024,1,110,110
O00146,2026-08-16 18:37:44,C0079,L1-00210,P015,2,95,190
O00147,2026-08-16 19:37:31,C0042,L1-00094,P019,2,24,48
O00148,2026-08-16 19:45:17,C0031,L1-00068,P031,1,96,96
O00149,2026-08-16 23:33:50,C0125,L1-00314,P012,3,38,114
O00150,2026-08-16 23:55:06,C0037,L1-00086,P014,3,285,855
O00151,2026-08-17 04:17:02,C0066,L1-00172,P020,1,145,145
O00152,2026-08-17 08:29:09,C0194,L1-00471,P034,1,120,120
O00153,2026-08-17 09:23:00,C0066,L1-00172,P010,1,48,48
O00154,2026-08-17 09:30:49,C0194,L1-00471,P018,1,52,52
O00155,2026-08-17 10:49:03,C0088,L1-00227,P001,2,64,128
O00156,2026-08-17 11:19:26,C0050,L1-00131,P007,2,165,330
O00157,2026-08-17 13:45:41,C0072,L1-00186,P024,1,110,110
O00158,2026-08-17 16:37:09,C0152,L1-00382,P032,1,225,225
O00159,2026-08-17 17:09:06,C0167,L1-00414,P034,2,120,240
O00160,2026-08-17 19:08:45,C0078,L1-00208,P015,1,95,95
O00161,2026-08-17 19:08:51,C0092,L1-00232,P023,1,89,89
O00162,2026-08-17 19:36:08,C0078,L1-00208,P021,3,35,105
O00163,2026-08-18 14:35:55,C0110,L1-00272,P006,2,285,570
O00164,2026-08-18 14:47:11,C0032,L1-00071,P009,2,55,110
O00165,2026-08-18 20:28:20,C0043,L1-00099,P028,2,135,270
O00166,2026-08-19 06:06:17,C0072,L1-00186,P015,1,95,95
O00167,2026-08-19 11:39:06,C0187,L1-00461,P019,1,24,24
O00168,2026-08-19 14:38:12,C0140,L1-00343,P005,1,449,449
O00169,2026-08-19 14:53:00,C0078,L1-00205,P022,1,225,225
O00170,2026-08-19 14:56:02,C0078,L1-00205,P015,1,95,95
O00171,2026-08-19 16:13:13,C0103,L1-00250,P033,1,99,99
O00172,2026-08-19 16:39:53,C0103,L1-00250,P001,1,64,64
O00173,2026-08-19 17:42:47,C0128,L1-00319,P003,2,52,104
O00174,2026-08-19 18:35:13,C0041,L1-00090,P008,1,52,52
O00175,2026-08-19 19:18:08,C0160,L1-00393,P015,2,95,190
O00176,2026-08-19 20:29:42,C0106,L1-00263,P005,1,449,449
O00177,2026-08-20 11:59:09,C0182,L1-00444,P014,1,285,285
O00178,2026-08-20 12:12:49,C0182,L1-00443,P035,1,85,85
O00179,2026-08-20 12:19:35,C0070,L1-00183,P011,1,42,42
O00180,2026-08-20 14:06:44,C0042,L1-00093,P028,1,135,135
O00181,2026-08-20 15:37:01,C0041,L1-00090,P004,1,62,62
O00182,2026-08-20 16:16:49,C0029,L1-00061,P031,2,96,192
O00183,2026-08-20 16:24:30,C0020,L1-00045,P021,3,35,105
O00184,2026-08-20 16:38:36,C0020,L1-00045,P031,3,96,288
O00185,2026-08-20 16:39:26,C0062,L1-00156,P025,1,89,89
O00186,2026-08-20 17:40:31,C0062,L1-00156,P012,3,38,114
O00187,2026-08-20 18:08:11,C0050,L1-00128,P023,2,89,178
O00188,2026-08-20 18:48:04,C0050,L1-00128,P013,1,149,149
O00189,2026-08-20 19:02:47,C0177,L1-00435,P002,1,85,85
O00190,2026-08-20 22:42:17,C0186,L1-00459,P013,1,149,149
O00191,2026-08-21 00:41:53,C0145,L2-00058,P026,3,165,495
O00192,2026-08-21 03:24:31,C0062,L1-00156,P014,1,285,285
O00193,2026-08-21 11:38:51,C0138,L1-00340,P018,2,52,104
O00194,2026-08-21 12:45:01,C0110,L1-00271,P006,2,285,570
O00195,2026-08-21 13:23:59,C0110,L1-00271,P002,1,85,85
O00196,2026-08-21 13:57:14,C0170,L1-00419,P013,2,149,298
O00197,2026-08-21 17:19:38,C0060,L1-00149,P018,2,52,104
O00198,2026-08-21 18:54:58,C0092,L2-00062,P013,2,149,298
O00199,2026-08-22 02:41:05,C0054,L1-00136,P007,1,165,165
O00200,2026-08-22 10:44:18,C0077,L1-00202,P009,1,55,55
O00201,2026-08-22 15:19:49,C0015,L1-00030,P015,1,95,95
O00202,2026-08-22 16:54:13,C0114,L1-00289,P021,1,35,35
O00203,2026-08-22 17:52:34,C0045,L1-00103,P009,1,55,55
O00204,2026-08-22 18:40:36,C0095,L2-00108,P030,2,185,370
O00205,2026-08-22 19:03:44,C0119,L1-00300,P021,1,35,35
O00206,2026-08-22 19:38:12,C0105,L1-00257,P023,1,89,89
O00207,2026-08-22 20:02:59,C0007,L1-00013,P027,2,145,290
O00208,2026-08-23 08:40:19,C0046,L1-00107,P011,1,42,42
O00209,2026-08-23 10:49:11,C0073,L1-00192,P009,1,55,55
O00210,2026-08-23 12:34:24,C0065,L1-00170,P004,2,62,124
O00211,2026-08-23 14:08:38,C0142,L1-00354,P019,1,24,24
O00212,2026-08-23 16:15:14,C0077,L1-00203,P036,2,65,130
O00213,2026-08-23 16:24:54,C0077,L1-00203,P030,3,185,555
O00214,2026-08-23 17:52:22,C0114,L1-00287,P031,1,96,96
O00215,2026-08-23 19:01:12,C0059,L1-00147,P009,1,55,55
O00216,2026-08-24 09:47:11,C0092,L1-00231,P008,2,52,104
O00217,2026-08-24 10:40:29,C0176,L1-00434,P025,2,89,178
O00218,2026-08-24 12:57:34,C0126,L1-00315,P002,1,85,85
O00219,2026-08-24 16:28:50,C0138,L1-00339,P011,1,42,42
O00220,2026-08-24 17:36:56,C0120,L1-00302,P004,1,62,62
O00221,2026-08-24 18:22:50,C0020,L1-00044,P012,2,38,76
O00222,2026-08-24 22:09:03,C0159,L1-00392,P002,1,85,85
O00223,2026-08-25 11:24:42,C0193,L1-00467,P004,1,62,62
O00224,2026-08-25 13:35:12,C0041,L1-00092,P017,1,115,115
O00225,2026-08-25 16:10:12,C0066,L1-00176,P001,1,64,64
O00226,2026-08-25 16:30:35,C0076,L1-00198,P011,3,42,126
O00227,2026-08-25 20:06:07,C0066,L1-00175,P012,3,38,114
O00228,2026-08-25 21:00:28,C0066,L1-00173,P007,1,165,165
O00229,2026-08-26 02:35:47,C0066,L1-00176,P034,1,120,120
O00230,2026-08-26 09:22:15,C0037,L1-00082,P003,1,52,52
O00231,2026-08-26 10:20:17,C0037,L1-00082,P018,3,52,156
O00232,2026-08-26 12:00:24,C0059,L1-00146,P005,1,449,449
O00233,2026-08-26 12:39:30,C0059,L1-00146,P017,1,115,115
O00234,2026-08-26 13:23:09,C0023,L1-00053,P013,1,149,149
O00235,2026-08-26 13:52:57,C0023,L1-00053,P014,1,285,285
O00236,2026-08-26 16:32:04,C0111,L1-00281,P032,3,225,675
O00237,2026-08-26 17:51:40,C0020,L1-00043,P034,2,120,240
O00238,2026-08-26 18:21:26,C0072,L1-00185,P014,1,285,285
O00239,2026-08-26 21:06:13,C0160,L1-00394,P005,3,449,1347
O00240,2026-08-26 21:34:08,C0160,L1-00394,P022,1,225,225
O00241,2026-08-27 14:10:18,C0194,L1-00472,P025,1,89,89
O00242,2026-08-27 15:01:29,C0112,L1-00284,P023,1,89,89
O00243,2026-08-27 16:44:38,C0118,L1-00297,P015,1,95,95
O00244,2026-08-27 17:03:19,C0152,L2-00212,P017,1,115,115
O00245,2026-08-27 17:32:30,C0150,L1-00375,P016,1,125,125
O00246,2026-08-27 18:05:03,C0150,L1-00375,P014,1,285,285
O00247,2026-08-28 14:00:38,C0194,L1-00469,P012,1,38,38
O00248,2026-08-28 14:35:34,C0131,L1-00323,P021,2,35,70
O00249,2026-08-28 17:32:17,C0086,L2-00237,P017,2,115,230
O00250,2026-08-28 17:57:14,C0118,L1-00295,P007,1,165,165
O00251,2026-08-28 22:46:49,C0173,L2-00252,P030,3,185,555
O00252,2026-08-29 09:23:51,C0184,L1-00452,P032,1,225,225
O00253,2026-08-29 11:50:35,C0036,L1-00079,P025,1,89,89
O00254,2026-08-29 14:33:19,C0075,L1-00196,P017,3,115,345
O00255,2026-08-29 14:33:44,C0075,L1-00196,P003,1,52,52
O00256,2026-08-29 15:29:41,C0016,L1-00036,P012,1,38,38
O00257,2026-08-29 18:16:08,C0161,L1-00397,P025,1,89,89
O00258,2026-08-29 19:02:20,C0130,L1-00320,P012,3,38,114
O00259,2026-08-29 19:03:39,C0049,L1-00122,P012,2,38,76
O00260,2026-08-29 19:25:20,C0049,L1-00122,P015,2,95,190
O00261,2026-08-29 22:42:05,C0046,L1-00110,P014,1,285,285
O00262,2026-08-30 08:21:06,C0171,L1-00421,P020,1,145,145
O00263,2026-08-30 08:56:43,C0171,L1-00421,P012,1,38,38
O00264,2026-08-30 12:21:59,C0048,L1-00114,P018,1,52,52
O00265,2026-08-30 17:35:28,C0195,L1-00474,P030,1,185,185
O00266,2026-08-30 17:50:35,C0195,L1-00474,P014,1,285,285
O00267,2026-08-30 18:56:32,C0073,L1-00191,P007,1,165,165
O00268,2026-08-30 23:24:07,C0171,L1-00421,P031,1,96,96
O00269,2026-08-31 03:04:40,C0165,L1-00410,P018,1,52,52
O00270,2026-08-31 04:15:26,C0111,L1-00278,P025,3,89,267
O00271,2026-08-31 08:31:32,C0050,L1-00129,P006,1,285,285
O00272,2026-08-31 08:44:35,C0050,L1-00129,P034,1,120,120
O00273,2026-08-31 12:18:47,C0110,L1-00270,P015,1,95,95
O00274,2026-08-31 15:05:56,C0049,L1-00117,P018,1,52,52
O00275,2026-08-31 17:21:32,C0171,L1-00422,P001,1,64,64
O00276,2026-08-31 17:28:08,C0171,L1-00422,P011,1,42,42
O00277,2026-08-31 19:05:36,C0041,L1-00091,P024,1,110,110
O00278,2026-08-31 19:06:16,C0196,L1-00478,P033,2,99,198
O00279,2026-09-01 00:34:36,C0065,L1-00169,P034,1,120,120
