Interaction_ID,Timestamp,Customer_ID,Session_ID,Product_ID,Interaction_Type
I000057,2026-08-01 13:02:09,C0031,L1-00067,P031,Add_to_Cart
I000058,2026-08-01 13:02:32,C0031,L1-00067,P028,View
I000059,2026-08-01 13:03:30,C0031,L1-00067,P016,View
I000060,2026-08-01 13:03:32,C0031,L1-00067,P028,Add_to_Cart
I000061,2026-08-01 13:04:13,C0031,L1-00067,P016,Add_to_Cart
I000062,2026-08-01 13:05:53,C0031,L1-00067,P007,View
I000063,2026-08-01 13:07:23,C0031,L1-00067,P024,View
I000064,2026-08-01 13:11:03,C0031,L1-00067,P024,View
I000065,2026-08-01 13:33:45,C0159,L1-00389,P013,View
I000066,2026-08-01 13:34:38,C0159,L1-00389,P026,View
I000067,2026-08-01 13:34:58,C0001,L1-00001,P020,View
I000068,2026-08-01 13:35:52,C0159,L1-00389,P006,View
I000069,2026-08-01 13:36:28,C0159,L1-00389,P001,View
I000070,2026-08-01 13:36:52,C0001,L1-00001,P034,View
I000071,2026-08-01 13:37:04,C0159,L1-00389,P032,View
I000072,2026-08-01 13:37:19,C0159,L1-00389,P006,Add_to_Cart
I000073,2026-08-01 13:37:29,C0001,L1-00001,P020,View
I000074,2026-08-01 13:38:19,C0001,L1-00001,P020,Add_to_Cart
I000075,2026-08-01 13:38:40,C0159,L1-00389,P032,Add_to_Cart
I000076,2026-08-01 15:07:49,C0157,L1-00386,P028,View
I000077,2026-08-01 15:09:49,C0157,L1-00386,P036,View
I000078,2026-08-01 15:12:15,C0157,L1-00386,P005,View
I000079,2026-08-01 15:13:23,C0157,L1-00386,P005,Add_to_Cart
I000080,2026-08-01 15:15:53,C0157,L1-00386,P034,View
I000081,2026-08-01 15:17:32,C0157,L1-00386,P034,Add_to_Cart
I000082,2026-08-01 15:46:00,C0147,L1-00371,P011,View
I000083,2026-08-01 15:47:48,C0147,L1-00371,P011,View
I000084,2026-08-01 15:48:09,C0147,L1-00371,P031,View
I000085,2026-08-01 15:49:36,C0147,L1-00371,P011,Add_to_Cart
I000086,2026-08-01 15:50:23,C0147,L1-00371,P033,View
I000087,2026-08-01 15:51:06,C0147,L1-00371,P015,View
I000088,2026-08-01 15:51:27,C0147,L1-00371,P033,Add_to_Cart
I000089,2026-08-01 15:51:40,C0147,L1-00371,P015,Add_to_Cart
I000090,2026-08-01 15:54:13,C0147,L1-00371,P014,View
I000091,2026-08-01 15:55:34,C0147,L1-00371,P014,Add_to_Cart
I000092,2026-08-01 16:13:19,C0161,L1-00396,P023,View
I000093,2026-08-01 16:14:31,C0161,L1-00396,P023,Add_to_Cart
I000094,2026-08-01 16:16:29,C0161,L1-00396,P016,View
I000095,2026-08-01 16:17:21,C0161,L1-00396,P016,Add_to_Cart
I000096,2026-08-01 16:19:40,C0161,L1-00396,P033,View
I000097,2026-08-01 16:20:14,C0161,L1-00396,P030,View
I000098,2026-08-01 16:22:56,C0161,L1-00396,P026,View
I000099,2026-08-01 16:24:55,C0161,L1-00396,P020,View
I000100,2026-08-01 16:33:03,C0050,L1-00126,P004,View
I000101,2026-08-01 16:34:21,C0050,L1-00126,P004,Add_to_Cart
I000102,2026-08-01 16:36:45,C0050,L1-00126,P013,View
I000103,2026-08-01 16:40:39,C0050,L1-00126,P027,View
I000104,2026-08-01 16:41:02,C0050,L1-00126,P027,Add_to_Cart
I000105,2026-08-01 16:44:29,C0050,L1-00126,P034,View
I000106,2026-08-01 16:46:30,C0050,L1-00126,P007,View
I000107,2026-08-01 16:47:21,C0050,L1-00126,P007,Add_to_Cart
I000108,2026-08-01 16:47:34,C0050,L1-00126,P009,View
I000109,2026-08-01 16:50:13,C0050,L1-00126,P013,View
I000110,2026-08-01 17:22:19,C0037,L1-00081,P024,View
I000111,2026-08-01 17:23:39,C0161,L1-00395,P022,View
I000112,2026-08-01 17:23:40,C0037,L1-00081,P031,View
I000113,2026-08-01 17:23:55,C0161,L1-00395,P022,Add_to_Cart
I000114,2026-08-01 17:24:08,C0037,L1-00081,P020,View
I000115,2026-08-01 17:25:27,C0037,L1-00081,P031,Add_to_Cart
I000116,2026-08-01 17:25:53,C0161,L1-00395,P017,View
I000117,2026-08-01 17:25:54,C0037,L1-00081,P025,View
I000118,2026-08-01 17:26:16,C0161,L1-00395,P015,View
I000119,2026-08-01 17:28:46,C0037,L1-00081,P017,View
I000120,2026-08-01 17:30:15,C0161,L1-00395,P015,View
I000121,2026-08-01 17:31:29,C0161,L1-00395,P015,Add_to_Cart
I000122,2026-08-01 17:32:08,C0037,L1-00081,P017,View
I000123,2026-08-01 17:33:41,C0037,L1-00081,P017,Add_to_Cart
I000124,2026-08-01 17:34:20,C0037,L1-00081,P025,View
I000125,2026-08-01 17:36:07,C0037,L1-00081,P006,View
I000126,2026-08-01 17:44:22,C0074,L1-00193,P015,View
I000127,2026-08-01 17:46:08,C0074,L1-00193,P023,View
I000128,2026-08-01 17:48:27,C0074,L1-00193,P031,View
I000129,2026-08-01 17:49:14,C0074,L1-00193,P015,View
I000130,2026-08-01 17:49:51,C0074,L1-00193,P031,Add_to_Cart
I000131,2026-08-01 17:52:28,C0074,L1-00193,P021,View
I000132,2026-08-01 17:53:05,C0074,L1-00193,P021,Add_to_Cart
I000133,2026-08-01 18:17:35,C0034,L1-00072,P010,View
I000134,2026-08-01 18:21:00,C0034,L1-00072,P013,View
I000135,2026-08-01 18:22:39,C0034,L1-00072,P034,View
I000136,2026-08-01 18:23:35,C0034,L1-00072,P034,Add_to_Cart
I000137,2026-08-01 18:24:27,C0037,L1-00083,P011,View
I000138,2026-08-01 18:25:37,C0037,L1-00083,P033,View
I000139,2026-08-01 18:26:42,C0037,L1-00083,P033,Add_to_Cart
I000140,2026-08-01 18:28:32,C0037,L1-00083,P026,View
I000141,2026-08-01 18:28:57,C0037,L1-00083,P026,Add_to_Cart
I000142,2026-08-01 18:30:10,C0037,L1-00083,P010,View
I000143,2026-08-01 18:31:19,C0037,L1-00083,P024,View
I000144,2026-08-01 19:41:49,C0029,L1-00064,P018,View
I000145,2026-08-01 19:42:14,C0029,L1-00064,P034,View
I000146,2026-08-01 19:42:44,C0029,L1-00064,P028,View
I000147,2026-08-01 19:43:10,C0029,L1-00064,P018,Add_to_Cart
I000148,2026-08-01 19:44:07,C0029,L1-00064,P034,Add_to_Cart
I000149,2026-08-01 23:41:12,C0096,L1-00238,P013,View
I000150,2026-08-01 23:41:35,C0096,L1-00238,P013,Add_to_Cart
I000151,2026-08-01 23:41:48,C0096,L1-00238,P015,View
I000152,2026-08-01 23:42:21,C0096,L1-00238,P030,View
I000153,2026-08-01 23:43:38,C0096,L1-00238,P030,Add_to_Cart
I000154,2026-08-01 23:43:38,C0096,L1-00238,P020,View
I000155,2026-08-01 23:45:18,C0096,L1-00238,P007,View
I000156,2026-08-01 23:48:15,C0096,L1-00238,P028,View
I000157,2026-08-01 23:49:21,C0096,L1-00238,P028,Add_to_Cart
I000158,2026-08-02 08:31:56,C0059,L1-00144,P009,View
I000159,2026-08-02 08:32:46,C0059,L1-00144,P005,View
I000160,2026-08-02 08:33:28,C0059,L1-00144,P005,Add_to_Cart
I000161,2026-08-02 08:35:41,C0059,L1-00144,P026,View
I000162,2026-08-02 08:37:29,C0059,L1-00144,P019,View
I000163,2026-08-02 08:38:33,C0059,L1-00144,P025,View
I000164,2026-08-02 08:39:26,C0059,L1-00144,P025,View
I000165,2026-08-02 08:40:25,C0059,L1-00144,P025,Add_to_Cart
I000166,2026-08-02 12:22:07,C0194,L1-00470,P017,View
I000167,2026-08-02 12:24:25,C0194,L1-00470,P011,View
I000168,2026-08-02 12:27:11,C0098,L1-00244,P036,View
I000169,2026-08-02 12:27:48,C0194,L1-00470,P017,View
I000170,2026-08-02 12:30:04,C0194,L1-00470,P026,View
I000171,2026-08-02 12:30:11,C0098,L1-00244,P027,View
I000172,2026-08-02 12:31:11,C0098,L1-00244,P027,Add_to_Cart
I000173,2026-08-02 12:31:59,C0098,L1-00244,P013,View
I000174,2026-08-02 12:32:55,C0194,L1-00470,P030,View
I000175,2026-08-02 12:35:02,C0098,L1-00244,P013,View
I000176,2026-08-02 12:37:44,C0098,L1-00244,P034,View
I000177,2026-08-02 12:40:13,C0098,L1-00244,P004,View
I000178,2026-08-02 12:40:28,C0098,L1-00244,P004,Add_to_Cart
I000179,2026-08-02 12:42:02,C0098,L1-00244,P009,View
I000180,2026-08-02 12:44:29,C0098,L1-00244,P031,View
I000181,2026-08-02 12:49:28,C0103,L1-00252,P001,View
I000182,2026-08-02 12:51:23,C0103,L1-00252,P001,Add_to_Cart
I000183,2026-08-02 12:52:23,C0103,L1-00252,P013,View
I000184,2026-08-02 12:53:18,C0103,L1-00252,P010,View
I000185,2026-08-02 12:55:39,C0103,L1-00252,P011,View
I000186,2026-08-02 12:59:20,C0103,L1-00252,P018,View
I000187,2026-08-02 13:01:02,C0103,L1-00252,P018,Add_to_Cart
I000188,2026-08-02 14:35:21,C0045,L1-00102,P002,View
I000189,2026-08-02 14:36:03,C0045,L1-00102,P025,View
I000190,2026-08-02 14:36:36,C0157,L1-00387,P017,View
I000191,2026-08-02 14:37:43,C0157,L1-00387,P001,View
I000192,2026-08-02 14:37:55,C0022,L1-00047,P022,View
I000193,2026-08-02 14:38:27,C0157,L1-00387,P001,View
I000194,2026-08-02 14:39:16,C0157,L1-00387,P023,View
I000195,2026-08-02 14:39:31,C0045,L1-00102,P032,View
I000196,2026-08-02 14:39:43,C0022,L1-00047,P022,Add_to_Cart
I000197,2026-08-02 14:39:57,C0022,L1-00047,P015,View
I000198,2026-08-02 14:40:52,C0045,L1-00102,P032,Add_to_Cart
I000199,2026-08-02 14:41:01,C0022,L1-00047,P010,View
I000200,2026-08-02 14:41:25,C0045,L1-00102,P015,View
I000201,2026-08-02 14:41:35,C0157,L1-00387,P020,View
I000202,2026-08-02 14:41:59,C0022,L1-00047,P007,View
I000203,2026-08-02 14:42:34,C0045,L1-00102,P026,View
I000204,2026-08-02 14:45:06,C0045,L1-00102,P034,View
I000205,2026-08-02 14:45:30,C0022,L1-00047,P025,View
I000206,2026-08-02 14:46:22,C0045,L1-00102,P034,Add_to_Cart
I000207,2026-08-02 14:46:30,C0045,L1-00102,P026,View
I000208,2026-08-02 14:50:09,C0045,L1-00102,P033,View
I000209,2026-08-02 15:15:22,C0005,L1-00007,P009,View
I000210,2026-08-02 15:16:18,C0005,L1-00007,P009,Add_to_Cart
I000211,2026-08-02 15:19:09,C0005,L1-00007,P036,View
I000212,2026-08-02 15:19:38,C0005,L1-00007,P032,View
I000213,2026-08-02 15:19:54,C0005,L1-00007,P036,Add_to_Cart
I000214,2026-08-02 15:20:57,C0005,L1-00007,P032,Add_to_Cart
I000215,2026-08-02 15:25:17,C0103,L1-00251,P014,View
I000216,2026-08-02 15:26:51,C0103,L1-00251,P014,Add_to_Cart
I000217,2026-08-02 15:28:57,C0103,L1-00251,P026,View
I000218,2026-08-02 15:31:45,C0103,L1-00251,P024,View
I000219,2026-08-02 15:33:19,C0103,L1-00251,P021,View
I000220,2026-08-02 15:33:48,C0103,L1-00251,P033,View
I000221,2026-08-02 15:34:24,C0103,L1-00251,P025,View
I000222,2026-08-02 15:34:37,C0103,L1-00251,P021,Add_to_Cart
I000223,2026-08-02 15:34:47,C0103,L1-00251,P035,View
I000224,2026-08-02 15:35:49,C0103,L1-00251,P013,View
I000225,2026-08-02 15:36:21,C0103,L1-00251,P013,Add_to_Cart
I000226,2026-08-02 15:42:03,C0164,L1-00406,P008,View
I000227,2026-08-02 15:42:45,C0164,L1-00406,P015,View
I000228,2026-08-02 15:44:35,C0164,L1-00406,P026,View
I000229,2026-08-02 15:48:22,C0164,L1-00406,P009,View
I000230,2026-08-02 15:49:19,C0164,L1-00406,P015,View
I000231,2026-08-02 15:50:59,C0164,L1-00406,P015,Add_to_Cart
I000232,2026-08-02 15:54:26,C0192,L1-00466,P014,View
I000233,2026-08-02 15:55:21,C0192,L1-00466,P006,View
I000234,2026-08-02 15:55:24,C0192,L1-00466,P014,Add_to_Cart
I000235,2026-08-02 15:58:51,C0192,L1-00466,P005,View
I000236,2026-08-02 16:02:46,C0192,L1-00466,P013,View
I000237,2026-08-02 16:30:31,C0018,L1-00041,P035,View
I000238,2026-08-02 16:31:27,C0018,L1-00041,P013,View
I000239,2026-08-02 16:31:48,C0018,L1-00041,P014,View
I000240,2026-08-02 16:32:08,C0018,L1-00041,P013,Add_to_Cart
I000241,2026-08-02 16:32:55,C0018,L1-00041,P018,View
I000242,2026-08-02 16:35:35,C0018,L1-00041,P010,View
I000243,2026-08-02 16:42:48,C0085,L1-00220,P017,View
I000244,2026-08-02 16:45:25,C0085,L1-00220,P025,View
I000245,2026-08-02 16:46:42,C0085,L1-00220,P033,View
I000246,2026-08-02 16:47:38,C0085,L1-00220,P033,Add_to_Cart
I000247,2026-08-02 17:00:22,C0039,L1-00088,P017,View
I000248,2026-08-02 17:03:01,C0039,L1-00088,P017,View
I000249,2026-08-02 17:06:33,C0039,L1-00088,P016,View
I000250,2026-08-02 17:07:10,C0039,L1-00088,P016,Add_to_Cart
I000251,2026-08-02 17:28:30,C0085,L1-00218,P029,View
I000252,2026-08-02 17:28:58,C0085,L1-00218,P029,Add_to_Cart
I000253,2026-08-02 17:30:17,C0085,L1-00218,P023,View
I000254,2026-08-02 17:33:43,C0085,L1-00218,P020,View
I000255,2026-08-02 17:34:15,C0085,L1-00218,P020,Add_to_Cart
I000256,2026-08-02 17:36:09,C0023,L1-00055,P030,View
I000257,2026-08-02 17:38:57,C0023,L1-00055,P020,View
I000258,2026-08-02 17:41:27,C0023,L1-00055,P014,View
I000259,2026-08-02 17:43:13,C0023,L1-00055,P014,Add_to_Cart
I000260,2026-08-02 17:43:41,C0023,L1-00055,P017,View
I000261,2026-08-02 17:45:32,C0023,L1-00055,P017,Add_to_Cart
I000262,2026-08-02 17:46:49,C0078,L1-00206,P031,View
I000263,2026-08-02 17:47:06,C0023,L1-00055,P021,View
I000264,2026-08-02 17:49:48,C0078,L1-00206,P023,View
I000265,2026-08-02 17:52:44,C0078,L1-00206,P017,View
I000266,2026-08-02 17:53:49,C0078,L1-00206,P003,View
I000267,2026-08-02 17:54:28,C0078,L1-00206,P017,Add_to_Cart
I000268,2026-08-02 17:55:53,C0078,L1-00206,P009,View
I000269,2026-08-02 17:56:44,C0078,L1-00206,P009,Add_to_Cart
I000270,2026-08-02 17:59:36,C0078,L1-00206,P032,View
I000271,2026-08-02 18:01:07,C0078,L1-00206,P032,Add_to_Cart
I000272,2026-08-02 18:01:54,C0078,L1-00206,P022,View
I000273,2026-08-02 18:02:25,C0078,L1-00206,P015,View
I000274,2026-08-02 18:02:33,C0078,L1-00206,P022,Add_to_Cart
I000275,2026-08-02 23:45:32,C0130,L1-00321,P026,View
I000276,2026-08-02 23:48:21,C0130,L1-00321,P017,View
I000277,2026-08-02 23:49:45,C0130,L1-00321,P033,View
I000278,2026-08-02 23:51:39,C0130,L1-00321,P033,Add_to_Cart
I000279,2026-08-02 23:53:41,C0130,L1-00321,P017,View
I000280,2026-08-03 08:07:42,C0121,L1-00305,P002,View
I000281,2026-08-03 08:08:28,C0121,L1-00305,P002,Add_to_Cart
I000282,2026-08-03 08:09:56,C0121,L1-00305,P004,View
I000283,2026-08-03 08:10:33,C0121,L1-00305,P004,Add_to_Cart
I000284,2026-08-03 08:11:38,C0183,L1-00445,P025,View
I000285,2026-08-03 08:12:01,C0121,L1-00305,P016,View
I000286,2026-08-03 08:13:40,C0121,L1-00305,P006,View
I000287,2026-08-03 08:13:47,C0142,L1-00359,P020,View
I000288,2026-08-03 08:14:21,C0121,L1-00305,P013,View
I000289,2026-08-03 08:14:26,C0183,L1-00445,P008,View
I000290,2026-08-03 08:15:12,C0121,L1-00305,P013,Add_to_Cart
I000291,2026-08-03 08:15:38,C0183,L1-00445,P034,View
I000292,2026-08-03 08:16:19,C0142,L1-00359,P025,View
I000293,2026-08-03 08:16:26,C0121,L1-00305,P014,View
I000294,2026-08-03 08:17:15,C0183,L1-00445,P034,Add_to_Cart
I000295,2026-08-03 08:18:05,C0183,L1-00445,P021,View
I000296,2026-08-03 08:18:53,C0142,L1-00359,P029,View
I000297,2026-08-03 08:20:20,C0142,L1-00359,P036,View
I000298,2026-08-03 08:21:13,C0183,L1-00445,P032,View
I000299,2026-08-03 08:24:00,C0142,L1-00359,P033,View
I000300,2026-08-03 08:24:06,C0183,L1-00445,P008,View
I000301,2026-08-03 08:24:30,C0183,L1-00445,P008,Add_to_Cart
I000302,2026-08-03 08:27:50,C0142,L1-00359,P034,View
I000303,2026-08-03 08:31:46,C0142,L1-00359,P014,View
I000304,2026-08-03 08:32:11,C0142,L1-00359,P014,Add_to_Cart
I000305,2026-08-03 08:32:26,C0142,L1-00359,P016,View
I000306,2026-08-03 08:33:07,C0142,L1-00359,P016,Add_to_Cart
I000307,2026-08-03 08:52:08,C0003,L1-00005,P025,View
I000308,2026-08-03 08:55:34,C0003,L1-00005,P022,View
I000309,2026-08-03 08:58:33,C0003,L1-00005,P020,View
I000310,2026-08-03 09:12:33,C0094,L1-00235,P023,View
I000311,2026-08-03 09:15:23,C0094,L1-00235,P006,View
I000312,2026-08-03 09:18:31,C0094,L1-00235,P013,View
I000313,2026-08-03 09:20:29,C0094,L1-00235,P011,View
I000314,2026-08-03 09:22:25,C0094,L1-00235,P011,Add_to_Cart
I000315,2026-08-03 10:32:14,C0145,L1-00366,P011,View
I000316,2026-08-03 10:34:16,C0145,L1-00366,P004,View
I000317,2026-08-03 10:35:53,C0145,L1-00366,P028,View
I000318,2026-08-03 12:37:34,C0200,L1-00488,P008,View
I000319,2026-08-03 12:38:29,C0200,L1-00488,P005,View
I000320,2026-08-03 12:38:53,C0200,L1-00488,P008,Add_to_Cart
I000321,2026-08-03 12:38:57,C0200,L1-00488,P005,Add_to_Cart
I000322,2026-08-03 12:39:15,C0200,L1-00488,P033,View
I000323,2026-08-03 12:39:40,C0072,L1-00187,P025,View
I000324,2026-08-03 12:41:08,C0200,L1-00488,P033,Add_to_Cart
I000325,2026-08-03 12:41:46,C0072,L1-00187,P017,View
I000326,2026-08-03 12:42:47,C0072,L1-00187,P028,View
I000327,2026-08-03 12:45:18,C0072,L1-00187,P008,View
I000328,2026-08-03 13:19:07,C0106,L1-00262,P010,View
I000329,2026-08-03 13:22:02,C0106,L1-00262,P017,View
I000330,2026-08-03 13:22:47,C0106,L1-00262,P017,Add_to_Cart
I000331,2026-08-03 13:24:05,C0106,L1-00262,P006,View
I000332,2026-08-03 13:26:35,C0106,L1-00262,P030,View
I000333,2026-08-03 13:26:59,C0106,L1-00262,P030,Add_to_Cart
I000334,2026-08-03 14:12:23,C0066,L1-00174,P024,View
I000335,2026-08-03 14:13:32,C0066,L1-00174,P032,View
I000336,2026-08-03 14:15:48,C0066,L1-00174,P030,View
I000337,2026-08-03 14:18:13,C0066,L1-00174,P033,View
I000338,2026-08-03 14:18:40,C0066,L1-00174,P018,View
I000339,2026-08-03 14:20:03,C0066,L1-00174,P033,Add_to_Cart
I000340,2026-08-03 14:22:21,C0066,L1-00174,P028,View
I000341,2026-08-03 15:13:41,C0079,L1-00211,P028,View
I000342,2026-08-03 15:16:15,C0079,L1-00211,P031,View
I000343,2026-08-03 15:16:58,C0079,L1-00211,P031,Add_to_Cart
I000344,2026-08-03 15:18:21,C0079,L1-00211,P020,View
I000345,2026-08-03 15:21:45,C0079,L1-00211,P015,View
I000346,2026-08-03 15:23:16,C0079,L1-00211,P033,View
I000347,2026-08-03 15:23:48,C0079,L1-00211,P033,Add_to_Cart
I000348,2026-08-03 15:25:32,C0079,L1-00211,P023,View
I000349,2026-08-03 15:26:44,C0079,L1-00211,P023,Add_to_Cart
I000350,2026-08-03 16:10:02,C0040,L1-00089,P021,View
I000351,2026-08-03 16:10:27,C0040,L1-00089,P008,View
I000352,2026-08-03 16:10:49,C0040,L1-00089,P032,View
I000353,2026-08-03 16:42:26,C0173,L1-00426,P018,View
I000354,2026-08-03 16:45:07,C0173,L1-00426,P025,View
I000355,2026-08-03 16:47:43,C0173,L1-00426,P010,View
I000356,2026-08-03 16:49:42,C0173,L1-00426,P024,View
I000357,2026-08-03 16:50:50,C0173,L1-00426,P014,View
I000358,2026-08-03 16:57:05,C0136,L1-00334,P002,View
I000359,2026-08-03 16:59:55,C0136,L1-00334,P006,View
I000360,2026-08-03 17:01:11,C0136,L1-00334,P006,Add_to_Cart
I000361,2026-08-03 17:03:40,C0136,L1-00334,P034,View
I000362,2026-08-03 17:04:42,C0136,L1-00334,P010,View
I000363,2026-08-03 17:05:35,C0136,L1-00334,P013,View
I000364,2026-08-03 17:08:06,C0136,L1-00334,P013,View
I000365,2026-08-03 17:32:39,C0195,L1-00476,P006,View
I000366,2026-08-03 17:33:20,C0195,L1-00476,P027,View
I000367,2026-08-03 17:36:21,C0023,L1-00051,P013,View
I000368,2026-08-03 17:37:11,C0195,L1-00476,P006,View
I000369,2026-08-03 17:37:28,C0023,L1-00051,P013,Add_to_Cart
I000370,2026-08-03 17:38:25,C0023,L1-00051,P008,View
I000371,2026-08-03 17:39:23,C0195,L1-00476,P018,View
I000372,2026-08-03 17:40:52,C0195,L1-00476,P008,View
I000373,2026-08-03 17:41:17,C0195,L1-00476,P023,View
I000374,2026-08-03 17:41:49,C0195,L1-00476,P023,Add_to_Cart
I000375,2026-08-03 17:41:52,C0195,L1-00476,P027,View
I000376,2026-08-03 17:42:08,C0023,L1-00051,P011,View
I000377,2026-08-03 17:42:28,C0023,L1-00051,P001,View
I000378,2026-08-03 17:44:21,C0023,L1-00051,P016,View
I000379,2026-08-03 17:44:22,C0023,L1-00051,P001,Add_to_Cart
I000380,2026-08-03 17:47:03,C0023,L1-00051,P023,View
I000381,2026-08-03 17:48:30,C0023,L1-00051,P026,View
I000382,2026-08-03 17:48:47,C0023,L1-00051,P026,Add_to_Cart
I000383,2026-08-03 17:51:00,C0023,L1-00051,P010,View
I000384,2026-08-03 18:03:58,C0111,L1-00279,P017,View
I000385,2026-08-03 18:06:25,C0111,L1-00279,P007,View
I000386,2026-08-03 18:09:12,C0111,L1-00279,P032,View
I000387,2026-08-03 18:09:46,C0111,L1-00279,P032,View
I000388,2026-08-03 18:11:45,C0111,L1-00279,P032,Add_to_Cart
I000389,2026-08-03 18:12:22,C0111,L1-00279,P020,View
I000390,2026-08-03 18:13:07,C0111,L1-00279,P013,View
I000391,2026-08-03 18:14:38,C0111,L1-00279,P009,View
I000392,2026-08-03 18:16:00,C0111,L1-00279,P009,Add_to_Cart
I000393,2026-08-03 18:24:10,C0163,L1-00404,P017,View
I000394,2026-08-03 18:24:47,C0163,L1-00404,P034,View
I000395,2026-08-03 18:26:02,C0163,L1-00404,P034,Add_to_Cart
I000396,2026-08-03 18:28:26,C0163,L1-00404,P016,View
I000397,2026-08-03 18:31:59,C0163,L1-00404,P011,View
I000398,2026-08-03 18:33:32,C0163,L1-00404,P011,Add_to_Cart
I000399,2026-08-04 08:37:29,C0153,L1-00385,P031,View
I000400,2026-08-04 08:38:09,C0153,L1-00385,P031,Add_to_Cart
I000401,2026-08-04 08:40:26,C0153,L1-00385,P017,View
I000402,2026-08-04 08:41:33,C0153,L1-00385,P019,View
I000403,2026-08-04 08:42:13,C0153,L1-00385,P017,Add_to_Cart
I000404,2026-08-04 08:42:18,C0153,L1-00385,P019,Add_to_Cart
I000405,2026-08-04 09:40:46,C0151,L1-00380,P002,View
I000406,2026-08-04 09:43:04,C0151,L1-00380,P012,View
I000407,2026-08-04 09:44:07,C0151,L1-00380,P012,Add_to_Cart
I000408,2026-08-04 09:46:50,C0151,L1-00380,P033,View
I000409,2026-08-04 10:45:28,C0052,L1-00134,P025,View
I000410,2026-08-04 10:46:08,C0052,L1-00134,P017,View
I000411,2026-08-04 10:46:47,C0052,L1-00134,P017,Add_to_Cart
I000412,2026-08-04 10:49:34,C0052,L1-00134,P020,View
