Date,Product_ID,Opening_Stock,Units_Sold,Replenishment_Units,Closing_Stock,Stock_Status
2026-08-02,P010,28,0,0,28,Healthy
2026-08-02,P011,22,0,0,22,Healthy
2026-08-02,P012,21,0,0,21,Healthy
2026-08-02,P013,14,2,0,12,Low Stock
2026-08-02,P014,14,0,0,14,Low Stock
2026-08-02,P015,10,0,0,10,Low Stock
2026-08-02,P016,14,1,0,13,Low Stock
2026-08-02,P017,15,2,0,13,Low Stock
2026-08-02,P018,14,1,0,13,Low Stock
2026-08-02,P019,14,0,0,14,Low Stock
2026-08-02,P020,23,0,0,23,Healthy
2026-08-02,P021,20,0,0,20,Healthy
2026-08-02,P022,14,1,0,13,Low Stock
2026-08-02,P023,14,0,0,14,Low Stock
2026-08-02,P024,15,0,0,15,Low Stock
2026-08-02,P025,13,1,0,12,Low Stock
2026-08-02,P026,14,0,0,14,Low Stock
2026-08-02,P027,11,0,0,11,Low Stock
2026-08-02,P028,26,0,0,26,Healthy
2026-08-02,P029,9,0,0,9,Low Stock
2026-08-02,P030,13,0,0,13,Low Stock
2026-08-02,P031,12,0,0,12,Low Stock
2026-08-02,P032,16,3,0,13,Low Stock
2026-08-02,P033,24,1,0,23,Healthy
2026-08-02,P034,23,0,0,23,Healthy
2026-08-02,P035,10,0,0,10,Low Stock
2026-08-02,P036,14,1,0,13,Low Stock
2026-08-03,P001,10,0,0,10,Low Stock
2026-08-03,P002,14,0,0,14,Low Stock
2026-08-03,P003,11,0,0,11,Low Stock
2026-08-03,P004,25,1,0,24,Healthy
2026-08-03,P005,11,0,0,11,Low Stock
2026-08-03,P006,20,1,0,19,Healthy
2026-08-03,P007,26,0,0,26,Healthy
2026-08-03,P008,20,2,0,18,Healthy
2026-08-03,P009,29,0,0,29,Healthy
2026-08-03,P010,28,0,0,28,Healthy
2026-08-03,P011,22,0,0,22,Healthy
2026-08-03,P012,21,0,0,21,Healthy
2026-08-03,P013,12,0,0,12,Low Stock
2026-08-03,P014,14,0,0,14,Low Stock
2026-08-03,P015,10,0,0,10,Low Stock
2026-08-03,P016,13,3,0,10,Low Stock
2026-08-03,P017,13,0,0,13,Low Stock
2026-08-03,P018,13,0,0,13,Low Stock
2026-08-03,P019,14,0,0,14,Low Stock
2026-08-03,P020,23,0,0,23,Healthy
2026-08-03,P021,20,0,0,20,Healthy
2026-08-03,P022,13,0,0,13,Low Stock
2026-08-03,P023,14,2,0,12,Low Stock
2026-08-03,P024,15,0,0,15,Low Stock
2026-08-03,P025,12,0,0,12,Low Stock
2026-08-03,P026,14,0,0,14,Low Stock
2026-08-03,P027,11,0,0,11,Low Stock
2026-08-03,P028,26,0,0,26,Healthy
2026-08-03,P029,9,0,0,9,Low Stock
2026-08-03,P030,13,0,0,13,Low Stock
2026-08-03,P031,12,0,0,12,Low Stock
2026-08-03,P032,13,0,0,13,Low Stock
2026-08-03,P033,23,0,0,23,Healthy
2026-08-03,P034,23,0,0,23,Healthy
2026-08-03,P035,10,0,0,10,Low Stock
2026-08-03,P036,13,0,0,13,Low Stock
2026-08-04,P001,10,0,0,10,Low Stock
2026-08-04,P002,14,0,0,14,Low Stock
2026-08-04,P003,11,0,0,11,Low Stock
2026-08-04,P004,24,0,0,24,Healthy
2026-08-04,P005,11,0,0,11,Low Stock
2026-08-04,P006,19,0,0,19,Healthy
2026-08-04,P007,26,0,0,26,Healthy
2026-08-04,P008,18,0,0,18,Healthy
2026-08-04,P009,29,0,0,29,Healthy
2026-08-04,P010,28,0,0,28,Healthy
2026-08-04,P011,22,1,0,21,Healthy
2026-08-04,P012,21,1,0,20,Healthy
2026-08-04,P013,12,1,0,11,Low Stock
2026-08-04,P014,14,0,0,14,Low Stock
2026-08-04,P015,10,0,0,10,Low Stock
2026-08-04,P016,10,0,0,10,Low Stock
2026-08-04,P017,13,0,0,13,Low Stock
2026-08-04,P018,13,0,0,13,Low Stock
2026-08-04,P019,14,1,0,13,Low Stock
2026-08-04,P020,23,0,0,23,Healthy
2026-08-04,P021,20,0,0,20,Healthy
2026-08-04,P022,13,0,0,13,Low Stock
2026-08-04,P023,12,0,0,12,Low Stock
2026-08-04,P024,15,0,0,15,Low Stock
2026-08-04,P025,12,0,0,12,Low Stock
2026-08-04,P026,14,0,0,14,Low Stock
2026-08-04,P027,11,0,0,11,Low Stock
2026-08-04,P028,26,0,0,26,Healthy
2026-08-04,P029,9,0,0,9,Low Stock
2026-08-04,P030,13,0,0,13,Low Stock
2026-08-04,P031,12,2,0,10,Low Stock
2026-08-04,P032,13,0,0,13,Low Stock
2026-08-04,P033,23,1,0,22,Healthy
2026-08-04,P034,23,0,0,23,Healthy
2026-08-04,P035,10,0,0,10,Low Stock
2026-08-04,P036,13,0,0,13,Low Stock
2026-08-05,P001,10,0,1,11,Low Stock
2026-08-05,P002,14,1,1,14,Low Stock
2026-08-05,P003,11,0,0,11,Low Stock
2026-08-05,P004,24,0,3,27,Healthy
2026-08-05,P005,11,0,0,11,Low Stock
2026-08-05,P006,19,0,2,21,Healthy
2026-08-05,P007,26,0,3,29,Healthy
2026-08-05,P008,18,0,2,20,Healthy
2026-08-05,P009,29,2,1,28,Healthy
2026-08-05,P010,28,0,0,28,Healthy
2026-08-05,P011,21,2,2,21,Healthy
2026-08-05,P012,20,0,1,21,Healthy
2026-08-05,P013,11,0,3,14,Low Stock
2026-08-05,P014,14,0,1,15,Low Stock
2026-08-05,P015,10,0,2,12,Low Stock
2026-08-05,P016,10,0,6,16,Healthy
2026-08-05,P017,13,1,3,15,Low Stock
2026-08-05,P018,13,2,2,13,Low Stock
2026-08-05,P019,13,0,1,14,Low Stock
2026-08-05,P020,23,0,1,24,Healthy
2026-08-05,P021,20,1,0,19,Healthy
2026-08-05,P022,13,1,1,13,Low Stock
2026-08-05,P023,12,0,3,15,Low Stock
2026-08-05,P024,15,0,0,15,Low Stock
2026-08-05,P025,12,0,1,13,Low Stock
2026-08-05,P026,14,0,0,14,Low Stock
2026-08-05,P027,11,0,2,13,Low Stock
2026-08-05,P028,26,0,1,27,Healthy
2026-08-05,P029,9,0,2,11,Low Stock
2026-08-05,P030,13,1,0,12,Low Stock
2026-08-05,P031,10,0,2,12,Low Stock
2026-08-05,P032,13,0,3,16,Healthy
2026-08-05,P033,22,0,2,24,Healthy
2026-08-05,P034,23,0,0,23,Healthy
2026-08-05,P035,10,0,0,10,Low Stock
2026-08-05,P036,13,0,1,14,Low Stock
2026-08-06,P001,11,0,0,11,Low Stock
2026-08-06,P002,14,0,0,14,Low Stock
2026-08-06,P003,11,0,0,11,Low Stock
2026-08-06,P004,27,0,0,27,Healthy
2026-08-06,P005,11,0,0,11,Low Stock
2026-08-06,P006,21,1,0,20,Healthy
2026-08-06,P007,29,0,0,29,Healthy
2026-08-06,P008,20,0,0,20,Healthy
2026-08-06,P009,28,0,0,28,Healthy
2026-08-06,P010,28,0,0,28,Healthy
2026-08-06,P011,21,0,0,21,Healthy
2026-08-06,P012,21,0,0,21,Healthy
2026-08-06,P013,14,3,0,11,Low Stock
2026-08-06,P014,15,0,0,15,Low Stock
2026-08-06,P015,12,0,0,12,Low Stock
2026-08-06,P016,16,0,0,16,Healthy
2026-08-06,P017,15,0,0,15,Low Stock
2026-08-06,P018,13,1,0,12,Low Stock
2026-08-06,P019,14,0,0,14,Low Stock
2026-08-06,P020,24,0,0,24,Healthy
2026-08-06,P021,19,0,0,19,Healthy
2026-08-06,P022,13,0,0,13,Low Stock
2026-08-06,P023,15,0,0,15,Low Stock
2026-08-06,P024,15,0,0,15,Low Stock
2026-08-06,P025,13,0,0,13,Low Stock
2026-08-06,P026,14,1,0,13,Low Stock
2026-08-06,P027,13,0,0,13,Low Stock
2026-08-06,P028,27,1,0,26,Healthy
2026-08-06,P029,11,0,0,11,Low Stock
2026-08-06,P030,12,0,0,12,Low Stock
2026-08-06,P031,12,0,0,12,Low Stock
2026-08-06,P032,16,0,0,16,Healthy
2026-08-06,P033,24,0,0,24,Healthy
2026-08-06,P034,23,2,0,21,Healthy
2026-08-06,P035,10,0,0,10,Low Stock
2026-08-06,P036,14,0,0,14,Low Stock
2026-08-07,P001,11,0,0,11,Low Stock
2026-08-07,P002,14,0,0,14,Low Stock
2026-08-07,P003,11,0,0,11,Low Stock
2026-08-07,P004,27,0,0,27,Healthy
2026-08-07,P005,11,0,0,11,Low Stock
2026-08-07,P006,20,0,0,20,Healthy
2026-08-07,P007,29,1,0,28,Healthy
2026-08-07,P008,20,0,0,20,Healthy
2026-08-07,P009,28,0,0,28,Healthy
2026-08-07,P010,28,0,0,28,Healthy
2026-08-07,P011,21,0,0,21,Healthy
2026-08-07,P012,21,1,0,20,Healthy
2026-08-07,P013,11,0,0,11,Low Stock
2026-08-07,P014,15,1,0,14,Low Stock
2026-08-07,P015,12,0,0,12,Low Stock
2026-08-07,P016,16,0,0,16,Healthy
2026-08-07,P017,15,0,0,15,Low Stock
2026-08-07,P018,12,1,0,11,Low Stock
2026-08-07,P019,14,0,0,14,Low Stock
2026-08-07,P020,24,1,0,23,Healthy
2026-08-07,P021,19,0,0,19,Healthy
2026-08-07,P022,13,2,0,11,Low Stock
2026-08-07,P023,15,1,0,14,Low Stock
2026-08-07,P024,15,0,0,15,Low Stock
2026-08-07,P025,13,0,0,13,Low Stock
2026-08-07,P026,13,0,0,13,Low Stock
2026-08-07,P027,13,0,0,13,Low Stock
2026-08-07,P028,26,0,0,26,Healthy
2026-08-07,P029,11,0,0,11,Low Stock
2026-08-07,P030,12,0,0,12,Low Stock
2026-08-07,P031,12,0,0,12,Low Stock
2026-08-07,P032,16,0,0,16,Healthy
2026-08-07,P033,24,0,0,24,Healthy
2026-08-07,P034,21,0,0,21,Healthy
2026-08-07,P035,10,0,0,10,Low Stock
2026-08-07,P036,14,0,0,14,Low Stock
2026-08-08,P001,11,0,0,11,Low Stock
2026-08-08,P002,14,0,0,14,Low Stock
2026-08-08,P003,11,0,0,11,Low Stock
2026-08-08,P004,27,0,0,27,Healthy
2026-08-08,P005,11,0,0,11,Low Stock
2026-08-08,P006,20,0,0,20,Healthy
2026-08-08,P007,28,0,0,28,Healthy
2026-08-08,P008,20,1,0,19,Healthy
2026-08-08,P009,28,0,0,28,Healthy
2026-08-08,P010,28,0,0,28,Healthy
2026-08-08,P011,21,0,0,21,Healthy
2026-08-08,P012,20,0,0,20,Healthy
2026-08-08,P013,11,0,0,11,Low Stock
2026-08-08,P014,14,0,0,14,Low Stock
2026-08-08,P015,12,0,0,12,Low Stock
2026-08-08,P016,16,0,0,16,Healthy
2026-08-08,P017,15,1,0,14,Low Stock
2026-08-08,P018,11,0,0,11,Low Stock
2026-08-08,P019,14,0,0,14,Low Stock
2026-08-08,P020,23,0,0,23,Healthy
2026-08-08,P021,19,2,0,17,Healthy
2026-08-08,P022,11,2,0,9,Low Stock
2026-08-08,P023,14,0,0,14,Low Stock
2026-08-08,P024,15,0,0,15,Low Stock
2026-08-08,P025,13,0,0,13,Low Stock
2026-08-08,P026,13,0,0,13,Low Stock
2026-08-08,P027,13,0,0,13,Low Stock
2026-08-08,P028,26,0,0,26,Healthy
2026-08-08,P029,11,0,0,11,Low Stock
2026-08-08,P030,12,0,0,12,Low Stock
2026-08-08,P031,12,1,0,11,Low Stock
2026-08-08,P032,16,0,0,16,Healthy
2026-08-08,P033,24,1,0,23,Healthy
2026-08-08,P034,21,0,0,21,Healthy
2026-08-08,P035,10,0,0,10,Low Stock
2026-08-08,P036,14,0,0,14,Low Stock
2026-08-09,P001,11,0,0,11,Low Stock
2026-08-09,P002,14,0,1,15,Low Stock
2026-08-09,P003,11,0,0,11,Low Stock
2026-08-09,P004,27,0,0,27,Healthy
2026-08-09,P005,11,0,0,11,Low Stock
2026-08-09,P006,20,3,1,18,Healthy
2026-08-09,P007,28,0,1,29,Healthy
2026-08-09,P008,19,0,1,20,Healthy
2026-08-09,P009,28,3,2,27,Healthy
2026-08-09,P010,28,0,0,28,Healthy
2026-08-09,P011,21,1,2,22,Healthy
2026-08-09,P012,20,2,1,19,Healthy
2026-08-09,P013,11,0,3,14,Low Stock
2026-08-09,P014,14,0,1,15,Low Stock
2026-08-09,P015,12,3,0,9,Low Stock
2026-08-09,P016,16,0,0,16,Healthy
2026-08-09,P017,14,0,2,16,Healthy
2026-08-09,P018,11,0,4,15,Low Stock
2026-08-09,P019,14,0,0,14,Low Stock
2026-08-09,P020,23,0,1,24,Healthy
2026-08-09,P021,17,0,3,20,Healthy
2026-08-09,P022,9,0,5,14,Low Stock
2026-08-09,P023,14,0,1,15,Low Stock
2026-08-09,P024,15,3,0,12,Low Stock
2026-08-09,P025,13,0,0,13,Low Stock
2026-08-09,P026,13,0,1,14,Low Stock
2026-08-09,P027,13,0,0,13,Low Stock
2026-08-09,P028,26,3,1,24,Healthy
2026-08-09,P029,11,1,0,10,Low Stock
2026-08-09,P030,12,0,1,13,Low Stock
2026-08-09,P031,11,0,1,12,Low Stock
2026-08-09,P032,16,0,0,16,Healthy
2026-08-09,P033,23,0,1,24,Healthy
2026-08-09,P034,21,0,2,23,Healthy
2026-08-09,P035,10,0,0,10,Low Stock
2026-08-09,P036,14,0,0,14,Low Stock
2026-08-10,P001,11,0,0,11,Low Stock
2026-08-10,P002,15,0,0,15,Low Stock
2026-08-10,P003,11,0,0,11,Low Stock
2026-08-10,P004,27,0,0,27,Healthy
2026-08-10,P005,11,0,0,11,Low Stock
2026-08-10,P006,18,0,0,18,Healthy
2026-08-10,P007,29,0,0,29,Healthy
2026-08-10,P008,20,2,0,18,Healthy
2026-08-10,P009,27,0,0,27,Healthy
2026-08-10,P010,28,0,0,28,Healthy
2026-08-10,P011,22,1,0,21,Healthy
2026-08-10,P012,19,0,0,19,Healthy
2026-08-10,P013,14,0,0,14,Low Stock
2026-08-10,P014,15,3,0,12,Low Stock
2026-08-10,P015,9,0,0,9,Low Stock
2026-08-10,P016,16,1,0,15,Low Stock
2026-08-10,P017,16,0,0,16,Healthy
2026-08-10,P018,15,0,0,15,Low Stock
2026-08-10,P019,14,0,0,14,Low Stock
2026-08-10,P020,24,0,0,24,Healthy
2026-08-10,P021,20,0,0,20,Healthy
2026-08-10,P022,14,0,0,14,Low Stock
2026-08-10,P023,15,1,0,14,Low Stock
2026-08-10,P024,12,0,0,12,Low Stock
2026-08-10,P025,13,0,0,13,Low Stock
2026-08-10,P026,14,0,0,14,Low Stock
2026-08-10,P027,13,0,0,13,Low Stock
2026-08-10,P028,24,0,0,24,Healthy
2026-08-10,P029,10,0,0,10,Low Stock
2026-08-10,P030,13,0,0,13,Low Stock
2026-08-10,P031,12,0,0,12,Low Stock
2026-08-10,P032,16,0,0,16,Healthy
2026-08-10,P033,24,0,0,24,Healthy
2026-08-10,P034,23,0,0,23,Healthy
2026-08-10,P035,10,0,0,10,Low Stock
2026-08-10,P036,14,0,0,14,Low Stock
2026-08-11,P001,11,0,0,11,Low Stock
2026-08-11,P002,15,0,0,15,Low Stock
2026-08-11,P003,11,0,0,11,Low Stock
2026-08-11,P004,27,3,0,24,Healthy
2026-08-11,P005,11,0,0,11,Low Stock
2026-08-11,P006,18,0,0,18,Healthy
2026-08-11,P007,29,0,0,29,Healthy
2026-08-11,P008,18,0,0,18,Healthy
2026-08-11,P009,27,0,0,27,Healthy
2026-08-11,P010,28,0,0,28,Healthy
2026-08-11,P011,21,0,0,21,Healthy
2026-08-11,P012,19,0,0,19,Healthy
2026-08-11,P013,14,0,0,14,Low Stock
2026-08-11,P014,12,0,0,12,Low Stock
2026-08-11,P015,9,3,0,6,Low Stock
2026-08-11,P016,15,0,0,15,Low Stock
2026-08-11,P017,16,1,0,15,Low Stock
2026-08-11,P018,15,0,0,15,Low Stock
2026-08-11,P019,14,0,0,14,Low Stock
2026-08-11,P020,24,1,0,23,Healthy
2026-08-11,P021,20,0,0,20,Healthy
2026-08-11,P022,14,0,0,14,Low Stock
2026-08-11,P023,14,0,0,14,Low Stock
2026-08-11,P024,12,0,0,12,Low Stock
2026-08-11,P025,13,0,0,13,Low Stock
2026-08-11,P026,14,0,0,14,Low Stock
2026-08-11,P027,13,1,0,12,Low Stock
2026-08-11,P028,24,0,0,24,Healthy
2026-08-11,P029,10,0,0,10,Low Stock
2026-08-11,P030,13,0,0,13,Low Stock
2026-08-11,P031,12,0,0,12,Low Stock
2026-08-11,P032,16,0,0,16,Healthy
2026-08-11,P033,24,0,0,24,Healthy
2026-08-11,P034,23,1,0,22,Healthy
2026-08-11,P035,10,1,0,9,Low Stock
2026-08-11,P036,14,0,0,14,Low Stock
2026-08-12,P001,11,0,0,11,Low Stock
2026-08-12,P002,15,0,0,15,Low Stock
2026-08-12,P003,11,0,0,11,Low Stock
2026-08-12,P004,24,0,0,24,Healthy
2026-08-12,P005,11,0,0,11,Low Stock
2026-08-12,P006,18,1,0,17,Healthy
2026-08-12,P007,29,0,0,29,Healthy
2026-08-12,P008,18,0,0,18,Healthy
2026-08-12,P009,27,1,0,26,Healthy
2026-08-12,P010,28,0,0,28,Healthy
2026-08-12,P011,21,0,0,21,Healthy
2026-08-12,P012,19,0,0,19,Healthy
2026-08-12,P013,14,1,0,13,Low Stock
2026-08-12,P014,12,0,0,12,Low Stock
2026-08-12,P015,6,3,0,3,Critical
2026-08-12,P016,15,0,0,15,Low Stock
2026-08-12,P017,15,0,0,15,Low Stock
2026-08-12,P018,15,0,0,15,Low Stock
2026-08-12,P019,14,0,0,14,Low Stock
2026-08-12,P020,23,1,0,22,Healthy
2026-08-12,P021,20,0,0,20,Healthy
2026-08-12,P022,14,0,0,14,Low Stock
2026-08-12,P023,14,1,0,13,Low Stock
2026-08-12,P024,12,0,0,12,Low Stock
2026-08-12,P025,13,1,0,12,Low Stock
2026-08-12,P026,14,1,0,13,Low Stock
2026-08-12,P027,12,0,0,12,Low Stock
2026-08-12,P028,24,2,0,22,Healthy
2026-08-12,P029,10,0,0,10,Low Stock
2026-08-12,P030,13,0,0,13,Low Stock
2026-08-12,P031,12,0,0,12,Low Stock
2026-08-12,P032,16,0,0,16,Healthy
2026-08-12,P033,24,0,0,24,Healthy
2026-08-12,P034,22,2,0,20,Healthy
2026-08-12,P035,9,0,0,9,Low Stock
2026-08-12,P036,14,0,0,14,Low Stock
2026-08-13,P001,11,1,0,10,Low Stock
2026-08-13,P002,15,0,0,15,Low Stock
2026-08-13,P003,11,0,0,11,Low Stock
2026-08-13,P004,24,0,3,27,Healthy
2026-08-13,P005,11,0,0,11,Low Stock
2026-08-13,P006,17,0,4,21,Healthy
2026-08-13,P007,29,3,0,26,Healthy
2026-08-13,P008,18,0,2,20,Healthy
2026-08-13,P009,26,0,4,30,Healthy
2026-08-13,P010,28,0,0,28,Healthy
2026-08-13,P011,21,0,2,23,Healthy
2026-08-13,P012,19,0,2,21,Healthy
2026-08-13,P013,13,0,1,14,Low Stock
2026-08-13,P014,12,0,3,15,Low Stock
2026-08-13,P015,3,1,9,11,Low Stock
2026-08-13,P016,15,0,1,16,Healthy
2026-08-13,P017,15,1,1,15,Low Stock
2026-08-13,P018,15,2,0,13,Low Stock
2026-08-13,P019,14,0,0,14,Low Stock
2026-08-13,P020,22,1,2,23,Healthy
2026-08-13,P021,20,0,0,20,Healthy
2026-08-13,P022,14,0,0,14,Low Stock
2026-08-13,P023,13,1,2,14,Low Stock
2026-08-13,P024,12,0,3,15,Low Stock
2026-08-13,P025,12,0,1,13,Low Stock
2026-08-13,P026,13,1,1,13,Low Stock
2026-08-13,P027,12,0,1,13,Low Stock
2026-08-13,P028,22,2,5,25,Healthy
2026-08-13,P029,10,0,1,11,Low Stock
2026-08-13,P030,13,2,0,11,Low Stock
2026-08-13,P031,12,0,0,12,Low Stock
2026-08-13,P032,16,0,0,16,Healthy
2026-08-13,P033,24,0,0,24,Healthy
2026-08-13,P034,20,0,3,23,Healthy
2026-08-13,P035,9,0,1,10,Low Stock
2026-08-13,P036,14,0,0,14,Low Stock
2026-08-14,P001,10,0,0,10,Low Stock
2026-08-14,P002,15,0,0,15,Low Stock
2026-08-14,P003,11,0,0,11,Low Stock
2026-08-14,P004,27,0,0,27,Healthy
2026-08-14,P005,11,0,0,11,Low Stock
2026-08-14,P006,21,0,0,21,Healthy
2026-08-14,P007,26,1,0,25,Healthy
2026-08-14,P008,20,0,0,20,Healthy
2026-08-14,P009,30,0,0,30,Healthy
2026-08-14,P010,28,0,0,28,Healthy
2026-08-14,P011,23,0,0,23,Healthy
2026-08-14,P012,21,0,0,21,Healthy
2026-08-14,P013,14,0,0,14,Low Stock
2026-08-14,P014,15,0,0,15,Low Stock
2026-08-14,P015,11,0,0,11,Low Stock
2026-08-14,P016,16,0,0,16,Healthy
2026-08-14,P017,15,0,0,15,Low Stock
2026-08-14,P018,13,1,0,12,Low Stock
2026-08-14,P019,14,1,0,13,Low Stock
2026-08-14,P020,23,0,0,23,Healthy
2026-08-14,P021,20,0,0,20,Healthy
2026-08-14,P022,14,0,0,14,Low Stock
2026-08-14,P023,14,0,0,14,Low Stock
2026-08-14,P024,15,0,0,15,Low Stock
2026-08-14,P025,13,0,0,13,Low Stock
2026-08-14,P026,13,0,0,13,Low Stock
2026-08-14,P027,13,0,0,13,Low Stock
2026-08-14,P028,25,0,0,25,Healthy
2026-08-14,P029,11,0,0,11,Low Stock
2026-08-14,P030,11,3,0,8,Low Stock
2026-08-14,P031,12,0,0,12,Low Stock
2026-08-14,P032,16,0,0,16,Healthy
2026-08-14,P033,24,0,0,24,Healthy
2026-08-14,P034,23,0,0,23,Healthy
2026-08-14,P035,10,0,0,10,Low Stock
2026-08-14,P036,14,0,0,14,Low Stock
2026-08-15,P001,10,0,0,10,Low Stock
2026-08-15,P002,15,0,0,15,Low Stock
2026-08-15,P003,11,0,0,11,Low Stock
2026-08-15,P004,27,0,0,27,Healthy
2026-08-15,P005,11,0,0,11,Low Stock
2026-08-15,P006,21,2,0,19,Healthy
2026-08-15,P007,25,3,0,22,Healthy
2026-08-15,P008,20,0,0,20,Healthy
2026-08-15,P009,30,0,0,30,Healthy
2026-08-15,P010,28,1,0,27,Healthy
2026-08-15,P011,23,0,0,23,Healthy
2026-08-15,P012,21,0,0,21,Healthy
2026-08-15,P013,14,3,0,11,Low Stock
2026-08-15,P014,15,1,0,14,Low Stock
2026-08-15,P015,11,0,0,11,Low Stock
2026-08-15,P016,16,0,0,16,Healthy
2026-08-15,P017,15,0,0,15,Low Stock
2026-08-15,P018,12,1,0,11,Low Stock
2026-08-15,P019,13,0,0,13,Low Stock
2026-08-15,P020,23,1,0,22,Healthy
2026-08-15,P021,20,0,0,20,Healthy
2026-08-15,P022,14,1,0,13,Low Stock
2026-08-15,P023,14,2,0,12,Low Stock
2026-08-15,P024,15,0,0,15,Low Stock
2026-08-15,P025,13,1,0,12,Low Stock
2026-08-15,P026,13,0,0,13,Low Stock
2026-08-15,P027,13,0,0,13,Low Stock
2026-08-15,P028,25,0,0,25,Healthy
2026-08-15,P029,11,0,0,11,Low Stock
2026-08-15,P030,8,0,0,8,Low Stock
2026-08-15,P031,12,2,0,10,Low Stock
2026-08-15,P032,16,2,0,14,Low Stock
2026-08-15,P033,24,0,0,24,Healthy
2026-08-15,P034,23,2,0,21,Healthy
2026-08-15,P035,10,0,0,10,Low Stock
2026-08-15,P036,14,2,0,12,Low Stock
2026-08-16,P001,10,0,0,10,Low Stock
2026-08-16,P002,15,0,0,15,Low Stock
2026-08-16,P003,11,0,0,11,Low Stock
2026-08-16,P004,27,0,0,27,Healthy
2026-08-16,P005,11,0,0,11,Low Stock
2026-08-16,P006,19,1,0,18,Healthy
2026-08-16,P007,22,0,0,22,Healthy
2026-08-16,P008,20,0,0,20,Healthy
2026-08-16,P009,30,0,0,30,Healthy
2026-08-16,P010,27,4,0,23,Healthy
2026-08-16,P011,23,0,0,23,Healthy
2026-08-16,P012,21,3,0,18,Healthy
2026-08-16,P013,11,0,0,11,Low Stock
2026-08-16,P014,14,4,0,10,Low Stock
2026-08-16,P015,11,2,0,9,Low Stock
2026-08-16,P016,16,0,0,16,Healthy
2026-08-16,P017,15,1,0,14,Low Stock
2026-08-16,P018,11,0,0,11,Low Stock
2026-08-16,P019,13,2,0,11,Low Stock
2026-08-16,P020,22,0,0,22,Healthy
2026-08-16,P021,20,0,0,20,Healthy
2026-08-16,P022,13,0,0,13,Low Stock
2026-08-16,P023,12,1,0,11,Low Stock
2026-08-16,P024,15,1,0,14,Low Stock
2026-08-16,P025,12,0,0,12,Low Stock
2026-08-16,P026,13,0,0,13,Low Stock
2026-08-16,P027,13,0,0,13,Low Stock
2026-08-16,P028,25,0,0,25,Healthy
2026-08-16,P029,11,0,0,11,Low Stock
2026-08-16,P030,8,0,0,8,Low Stock
2026-08-16,P031,10,1,0,9,Low Stock
2026-08-16,P032,14,0,0,14,Low Stock
2026-08-16,P033,24,0,0,24,Healthy
2026-08-16,P034,21,1,0,20,Healthy
2026-08-16,P035,10,0,0,10,Low Stock
2026-08-16,P036,12,0,0,12,Low Stock
2026-08-17,P001,10,2,1,9,Low Stock
2026-08-17,P002,15,0,0,15,Low Stock
2026-08-17,P003,11,0,0,11,Low Stock
2026-08-17,P004,27,0,0,27,Healthy
2026-08-17,P005,11,0,0,11,Low Stock
2026-08-17,P006,18,0,3,21,Healthy
2026-08-17,P007,22,2,7,27,Healthy
2026-08-17,P008,20,0,0,20,Healthy
2026-08-17,P009,30,0,0,30,Healthy
2026-08-17,P010,23,1,5,27,Healthy
2026-08-17,P011,23,0,0,23,Healthy
2026-08-17,P012,18,0,3,21,Healthy
2026-08-17,P013,11,0,0,11,Low Stock
